category	Z_alpha_category	Z_beta_category	n_envs_used
0006094	1.4018749969892235	1.4030713434173718	8
0006096	2.1212460745813955	2.1628260822913794	8
0006098	2.1979409451188876	2.3306752225315375	8
0006139	2.1814673587750106	2.244967530328599	8
0006163	3.227429746094591	3.328177952103328	8
0006164	1.9247046752736812	1.9279244675451273	8
0006177	2.3742774479323505	2.4094766300793835	7
0006189	2.4289165304100955	2.4148866703441123	8
0006207	1.6316794889099706	1.6300734802733103	8
0006221	2.9754996335445787	3.020251792267	8
0006260	2.3330610632620723	2.401133886374608	8
0006261	1.3935323917282068	1.357945887816097	8
0006265	2.204391795517456	2.196758434299698	8
0006269	1.4321660406260692	1.4344879153997923	8
0006275	1.3942222785875098	1.3328216264372168	7
0006281	2.5043764455366064	2.5341858180122503	8
0006284	1.086997387125537	1.1415482707107982	8
0006289	1.661103609810476	1.63709172088274	8
0006310	2.9407273976350528	2.890042292112205	8
0006351	2.3029757408232947	2.4016444248418374	8
0006352	1.630637020174002	1.633438537068319	8
0006353	2.3967452476360123	2.4603413301684474	8
0006355	2.377957760591967	2.4193715701628586	8
0006364	2.6367344993209425	2.5826693539683605	8
0006396	1.3165256795401923	1.3690085571657686	8
0006400	2.754862800250198	2.691935538805949	8
0006402	2.19235748392167	2.204123971580639	8
0006412	4.160804933401925	4.166302956081606	8
0006413	2.3634835098858655	2.254107255069944	8
0006414	1.3858947619159285	1.3737994515565226	8
0006415	3.4047199985615	3.308139779054142	8
0006418	3.0637919353684158	3.062156754091467	8
0006419	1.502732429875129	1.4413017729640614	8
0006420	1.4173814078629385	1.3617816179581645	7
0006423	1.054932784517496	1.0346679119065259	8
0006424	3.0797883043197163	3.027105324976015	8
0006426	2.1113611898650255	2.0128600526614284	8
0006427	1.2388667985372042	1.2164109457942964	6
0006428	1.6044545441378135	1.5513309644758893	5
0006429	2.262131024025945	2.2027760321328023	4
0006430	1.540472912204149	1.523132784065391	8
0006431	2.3260683203545796	2.293919901913043	7
0006432	2.640272675683883	2.689434951770451	8
0006433	2.6966316955535556	2.665350779921091	8
0006434	1.9501041750520545	1.8943901130828356	6
0006435	2.225965122996166	2.1909683856848243	8
0006436	3.1692296580358312	3.150889874571162	8
0006437	1.1972256609054908	1.1597450948784847	8
0006438	4.383686529590249	4.284703127487678	4
0006457	1.9550194809890147	1.9622115047826103	8
0006465	1.485462032102326	1.4551205527515265	8
0006508	1.6920715907562172	1.5815669912709824	8
0006520	2.510189127095359	2.480216489244131	8
0006522	1.9944939247018127	1.9518993424351965	8
0006541	1.4666739600977827	1.4154020079181604	8
0006556	1.5588507775981397	1.572310450733825	8
0006614	0.38290572579942334	0.4086283561212411	5
0006633	2.403101042699388	2.5173066536971813	8
0006730	2.4937902397731557	2.545454090258926	8
0006779	2.8993259126726905	2.9060312102655015	8
0006810	2.371821472225989	2.3719343213905306	8
0006812	1.5313312559280812	1.5492541450450499	8
0006817	1.4634015378141245	1.513535617654419	8
0006886	1.9481291536243692	1.9663494620851678	8
0006950	2.0316346199715722	2.0081248824315274	8
0007165	1.8844631887681023	1.926166588866632	8
0008033	2.9312951564279923	2.9294345866237697	8
0008080	2.770393133982159	2.8552216994405977	8
0008094	1.6316238923665747	1.6295857017618005	6
0008152	2.4546984293797567	2.388093670765804	8
0008168	1.9476165046051401	2.0360091250334698	8
0008173	1.5537060683411719	1.4962042918233518	8
0008233	1.0324606558660416	1.044612375876061	8
0008236	2.070784829300686	1.970325261636936	8
0008270	1.711576519160653	1.6990933567587967	8
0008299	3.0880965192891177	3.1176113275090502	8
0008324	1.5697856768698002	1.5392943653923985	8
0008360	2.4475613528699864	2.4371742927739537	8
0008381	0.99603045644595	0.9127562739376441	8
0008408	2.267456108040259	2.3362294983112695	8
0008483	1.4842056186969952	1.4536064893484146	8
0008649	2.4530848461582417	2.393226142806407	8
0008652	1.865387220006138	1.7599597266186433	8
0008654	1.8837419878113622	1.9190229785402055	8
0008658	1.386320251900802	1.345489580519284	8
0008716	1.5073993029097823	1.4435166648831337	8
0008757	2.026718737570998	2.0357318141612537	8
0008760	1.2451831636391055	1.2619707566702956	8
0008762	1.1214696391080026	1.1162031646549897	7
0008763	0.7676570515390228	0.7124052007482605	7
0008764	0.9246156211944575	0.9327105732792355	6
0008784	2.030014979102529	1.9880068397586694	8
0008839	1.2509682791885404	1.208782520244887	8
0008840	2.592701679417479	2.57660077884686	8
0008961	1.8007524900451453	1.7446628005963238	8
0008963	0.9109393989843311	0.9113928562725426	7
0008966	1.0516401495908576	1.1412168116312098	4
0009055	3.9694222043955887	4.104579516922667	8
0009058	2.7684639249242315	2.80619068667556	8
0009073	2.1001346138313735	2.127404071101783	8
0009086	1.4321706024758183	1.413462028413904	8
0009089	1.4596591186252827	1.4506567731565216	8
0009113	1.4354545374358325	1.4003086352421132	8
0009116	1.8394999084723405	1.8843154690789419	8
0009152	3.5940349061418777	3.5626148404755575	8
0009228	2.361958803747447	2.31953733748677	8
0009249	1.2946787196914062	1.3162601121074884	8
0009252	3.8701115907142336	3.8233122287015546	8
0009294	0.7996778219115533	0.8040670088086943	8
0009306	2.6480638139972332	2.6100000787434494	8
0009320	1.0914340734358012	1.1887309279312943	7
0009360	1.7910046265801678	1.71696265508382	8
0009378	3.33964349246616	3.3595936522623413	8
0009379	2.030385698984371	2.022965360896447	2
0009380	1.1810262270035972	1.1352243959571373	8
0009381	0.7909583473314256	0.7785529286644417	6
0009408	2.1157630502003495	2.1514939056952302	8
0009423	2.2579638530091963	2.2233663110838036	8
0009432	2.4092644771977194	2.456415554385744	8
0009435	2.8944377447509266	2.963736260172027	8
0009451	2.2907471893490703	2.3015981923061744	8
0009982	3.1465611565106353	3.0669104490156323	8
0010181	1.532785236811035	1.5831110693291761	8
0015031	2.6964760939394705	2.6453717166991737	8
0015035	1.612931095552502	1.6838297978060728	8
0015074	2.107977421824556	2.082669950609314	8
0015078	1.8541538989092705	1.7627535983082272	8
0015136	1.0386772808832865	1.0495126389316927	5
0015297	1.8041219812051938	1.791980069962111	8
0015450	2.5801319332288917	2.6257082910751137	8
0015562	3.6726999304451806	3.7107589959523652	8
0015739	1.0386772808832865	1.0495126389316927	5
0015934	2.7980273818071413	2.8668260868592195	8
0015935	2.0441047850955774	1.982136965595873	7
0015937	2.2203428549223108	2.2517568823643535	8
0015949	1.139750231278408	1.1248646826858715	8
0015986	1.9590672983534565	1.94238318278852	8
0016020	2.211010241216819	2.185668213154434	8
0016149	2.6223199837418076	2.521337837139415	8
0016226	1.4534387790194723	1.4872415179575054	8
0016301	1.9977180109815678	2.0179092387324826	8
0016310	1.3862351015780525	1.3914484950308244	8
0016434	1.3168915824889487	1.313104128108002	6
0016462	2.86101578728523	2.8202713865066427	8
0016491	3.2566185438576696	3.330170107779741	8
0016616	1.9310423262551488	1.9301975439141363	8
0016620	1.537394577339361	1.5747235467346572	8
0016740	2.085216606544437	2.138873021331261	8
0016746	1.886838231550891	1.9637110150355324	8
0016747	1.5606707874597587	1.6207168130621084	8
0016757	2.3074070111610276	2.3413484285815316	8
0016779	3.2140450063001453	3.271744408732696	8
0016783	1.5772196298757772	1.5695614151063462	8
0016787	2.168899516721022	2.152851711229027	8
0016788	1.5585324548003439	1.597975088369687	8
0016853	1.8024496505275929	1.7920462014527299	8
0016874	1.8817896332175568	1.9939701450324059	8
0016879	1.9566785783154417	1.9185659756001223	8
0016887	3.592221466270345	3.517563032825872	8
0016987	1.7225250086596844	1.7592760516669403	8
0017148	1.2725222756660062	1.2356586039158501	8
0017150	2.405827015612316	2.3308199204955975	8
0018364	1.6393828772675982	1.6597665734289833	8
0019264	5.5904030845842945	5.523771763811686	8
0019277	1.25022348945477	1.2670047173282353	8
0019430	3.942112119163115	3.8476872638753825	8
0019843	2.5651226630126223	2.5218820623722373	8
0022625	1.4831925698759836	1.4238132773757612	8
0022627	1.3084609800921159	1.2982573016012415	8
0022857	1.8744310073331631	1.929683664041127	8
